MES,COORDINADORA,count,util_positive,util_negative,no_contact,acw,aht,llave,tiempo_acw,tiempo_aht,tasa_contacto
8.0,IC,8856.0,6058.0,1854.0,13606.0,173615.0,1418255.0,IC8,00:13,09:57,68.0
9.0,CG,9363.0,5843.0,1075.0,8805.0,221949.0,2056581.0,CG9,13:39,19:16,62.0
9.0,IC,17082.0,10835.0,2021.0,21583.0,112254.0,3047162.0,IC9,07:10,06:26,63.0
9.0,JH,18.0,2.0,0.0,16.0,410.0,2054.0,JH9,00:06,00:34,11.0
10.0,CG,11725.0,6723.0,1040.0,23306.0,131245.0,2486062.0,CG10,12:27,18:34,57.0
10.0,IC,20192.0,6967.0,920.0,20126.0,126170.0,2166907.0,IC10,11:02,01:55,35.0
10.0,JH,43.0,6.0,0.0,37.0,44.0,2962.0,JH10,00:00,00:49,14.0
11.0,CG,6102.0,1371.0,129.0,4728.0,22871.0,441954.0,CG11,06:21,02:45,22.0
11.0,IC,6350.0,1351.0,185.0,5458.0,27433.0,501335.0,IC11,07:37,19:15,21.0
11.0,JH,74.0,15.0,3.0,59.0,3289.0,10861.0,JH11,00:54,03:01,20.0
,Suma,79805.0,39171.0,7227.0,97724.0,819280.0,12134133.0,,,,373.0
,Promedio,7980.5,3917.1,722.7,9772.4,81928.0,1213413.3,,477:00,7078:15,37.3
