MES,COORDINADORA,count_promises,ticket,ticket_medio,llave
8.0,IC,1786.0,"$694,549,166.00","$204,881.76",IC8
9.0,CG,1521.0,"$6,217,070,200.00","$3,019,461.00",CG9
9.0,IC,3729.0,"$1,547,735,448.00","$236,187.31",IC9
10.0,CG,1956.0,"$534,267,134.00","$166,334.72",CG10
10.0,IC,3160.0,"$1,003,419,869.00","$217,614.37",IC10
10.0,JH,6.0,"$12,828,889.00","$1,425,432.11",JH10
11.0,CG,44.0,"$11,279,682.00","$187,994.70",CG11
11.0,IC,228.0,"$51,773,560.00","$193,184.93",IC11
11.0,JH,6.0,"$869,544.00","$144,924.00",JH11
0.0,Suma,12436.0,"$10,073,793,492.00","$5,796,014.90",Suma10
0.0,Promedio,1381.78,"$1,119,310,388.00","$644,001.66",Promedio10
